par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
6501,Ellijay,Georgia,GA,2000,0.001,0,0.0005,0.0005,0,0,0,0,1032,0.001938,0,0.000969,0.000969,0,0,0,0,968,0,0,0,0,0,0,0,0
6502,Cleveland,Tennessee,TN,10952,0.0006392,0,0.0002739,0,0.0000913,0.0000913,0.0001826,0,5523,0.0009053,0,0.0003621,0,0.0001811,0.0001811,0.0001811,0,5429,0.0003684,0,0.0001842,0,0,0,0.0001842,0
6600,Rome,Georgia,GA,23833,0.0007553,0,0.0002518,0.0000839,0.0001259,0.0000839,0.0001259,0.0000839,12058,0.0014099,0,0.0004147,0.0001659,0.0002488,0.0001659,0.0002488,0.0001659,11771,0.000085,0,0.000085,0,0,0,0,0
6700,Tampa,Florida,FL,101682,0.0019669,0.0001377,0.000354,0.0003344,0.0002754,0.0002065,0.0004819,0.000177,51354,0.0030183,0.0001947,0.0005842,0.0004868,0.0004868,0.0003505,0.0006815,0.0002337,50324,0.0008942,0.0000795,0.0001192,0.0001788,0.0000596,0.0000596,0.0002782,0.0001192
6800,Lakeland,Florida,FL,31525,0.000793,0.0000317,0.0002538,0.0001269,0.0001586,0.0000952,0.0000634,0.0000634,15955,0.0011282,0,0.0005014,0.0000627,0.0002507,0.0001254,0.0000627,0.0001254,15570,0.0004496,0.0000642,0,0.0001927,0.0000642,0.0000642,0.0000642,0
6900,Sarasota,Florida,FL,29346,0.0014653,0.0000682,0.0004089,0.0001363,0.0003408,0.0003067,0.0001022,0.0001022,14793,0.0022984,0.0001352,0.000676,0.0000676,0.0004732,0.0005408,0.0002028,0.0002028,14553,0.0006184,0,0.0001374,0.0002061,0.0002061,0.0000687,0,0
7000,Miami,Florida,FL,172669,0.0016332,0.0001042,0.0005386,0.0002374,0.000139,0.0001042,0.0003301,0.0001795,84755,0.0025721,0.0001534,0.0008967,0.0002832,0.0002714,0.0002006,0.0005073,0.0002596,87886,0.0007282,0.0000569,0.0001934,0.0001934,0.0000114,0.0000114,0.0001593,0.0001024
7100,Port St. Lucie,Florida,FL,65437,0.0023993,0.0001528,0.0007488,0.0002598,0.0003515,0.0002751,0.0003973,0.0002139,32726,0.0040029,0.0002139,0.0013751,0.0003972,0.00055,0.0005195,0.0006111,0.0003361,32707,0.0007949,0.0000917,0.0001223,0.0001223,0.0001529,0.0000306,0.0001834,0.0000917
7200,Cape Coral,Florida,FL,24471,0.0013077,0,0.0002861,0.0002861,0.0003678,0.0001635,0.0001635,0.0000409,12318,0.0019484,0,0.0004059,0.0004871,0.0004871,0.0002435,0.0003247,0,12151,0.0006584,0,0.0001646,0.0000823,0.0002469,0.0000823,0,0.0000823
7300,Palm Bay,Florida,FL,29292,0.0022873,0.0001707,0.0008193,0.000239,0.0003755,0.000239,0.0004097,0.0000341,14791,0.0033128,0.0002028,0.0012846,0.0002028,0.0006761,0.0002704,0.0006085,0.0000676,14500,0.0012414,0.0001379,0.0003448,0.0002759,0.000069,0.0002069,0.0002069,0
7400,Orlando,Florida,FL,85323,0.001465,0.0000938,0.0004922,0.0001289,0.0002227,0.0001172,0.0002696,0.0001406,42700,0.0024356,0.0001639,0.0008665,0.0001405,0.0004215,0.0001874,0.000445,0.0002108,42614,0.0004928,0.0000235,0.0001173,0.0001173,0.0000235,0.0000469,0.0000939,0.0000704
7500,Deltona,Florida,FL,26015,0.0013069,0.0001538,0.0003844,0.0001922,0.0003075,0.0001153,0.0001153,0.0000384,13214,0.0018919,0.000227,0.0003027,0.000227,0.0006054,0.000227,0.000227,0.0000757,12799,0.0007032,0.0000781,0.0004688,0.0001563,0,0,0,0
7600,Jacksonville,Florida,FL,70290,0.0010812,0.0000854,0.0002419,0.0001992,0.0002276,0.0000854,0.0001423,0.0000996,35116,0.0015947,0.0001424,0.0003702,0.0002563,0.0003987,0.0001424,0.0001424,0.0001424,35172,0.0005686,0.0000284,0.0001137,0.0001422,0.0000569,0.0000284,0.0001422,0.0000569
7700,Lake City,Florida,FL,8798,0.0009093,0,0.0002273,0.0001137,0.0001137,0.0001137,0.000341,0,4510,0.0015521,0,0.0004435,0.0002217,0.0002217,0.0002217,0.0004435,0,4288,0.0002332,0,0,0,0,0,0.0002332,0
7800,Ocala,Florida,FL,16864,0.0010081,0.0001779,0.0002372,0,0,0.0003558,0.0001779,0.0000593,8541,0.0015221,0.0003512,0.0003512,0,0,0.0007025,0.0001171,0,8323,0.0004806,0,0.0001201,0,0,0,0.0002403,0.0001201
7900,Gainesville,Florida,FL,16366,0.0014054,0.0003666,0.0003055,0.0003666,0.0001833,0.0000611,0.0001222,0,8262,0.0024207,0.0004841,0.0006052,0.0006052,0.0003631,0.000121,0.0002421,0,8104,0.0003702,0.0002468,0,0.0001234,0,0,0,0
8000,Sumter,South Carolina,SC,14416,0.0009018,0.0000694,0.0003468,0.0001387,0,0.0001387,0,0.0002081,7235,0.0009675,0,0.0004147,0.0001382,0,0.0001382,0,0.0002764,7180,0.0008357,0.0001393,0.0002786,0.0001393,0,0.0001393,0,0.0001393
8100,Columbia,South Carolina,SC,42775,0.0012858,0.0002104,0.0003974,0.0002338,0.0002104,0.0000935,0.0001169,0.0000234,21391,0.0021037,0.0004207,0.0007012,0.0002337,0.000374,0.000187,0.0001402,0.0000467,21382,0.0004677,0,0.0000935,0.0002338,0.0000468,0,0.0000935,0
8201,Barnwell,South Carolina,SC,5222,0.0001915,0,0,0,0,0,0.0001915,0,2619,0.0003818,0,0,0,0,0,0.0003818,0,2600,0,0,0,0,0,0,0,0
8202,Charleston,South Carolina,SC,34547,0.0011868,0.0001447,0.0002605,0.0001737,0.0001737,0.0000868,0.0002605,0.0000868,17022,0.0018212,0.0002937,0.0004112,0.0001762,0.0002937,0.0001762,0.0002937,0.0001762,17525,0.0005706,0,0.0001141,0.0001712,0.0000571,0,0.0002282,0
8300,Greenville,South Carolina,SC,49743,0.0011861,0.0001608,0.0002412,0.0001809,0.000201,0.0000402,0.0002211,0.0001407,25061,0.0017557,0.0002793,0.0004389,0.0001197,0.0002394,0.0000798,0.000399,0.0001995,24680,0.0006078,0.0000405,0.0000405,0.0002431,0.0001621,0,0.0000405,0.000081
8401,Aiken,Georgia,GA,34648,0.0014431,0.0001443,0.0003175,0.0002309,0.0001443,0.0002886,0.0002309,0.0000866,17320,0.002194,0.0001732,0.0005196,0.0002309,0.0002887,0.0004619,0.0004042,0.0001155,17319,0.0006929,0.0001155,0.0001155,0.000231,0,0.0001155,0.0000577,0.0000577
8402,Washington,Georgia,GA,2369,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,0,0
8501,Fitzgerald,Georgia,GA,1913,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0
8502,Cordele,Georgia,GA,3235,0.0003091,0,0.0003091,0,0,0,0,0,1616,0.0006188,0,0.0006188,0,0,0,0,0,1619,0,0,0,0,0,0,0,0
8503,Valdosta,Georgia,GA,14884,0.000739,0.0000672,0.0002687,0,0.0002016,0,0.0001344,0.0000672,7562,0.0014546,0.0001322,0.000529,0,0.0003967,0,0.0002645,0.0001322,7322,0,0,0,0,0,0,0,0
8601,Waycross,Georgia,GA,7233,0.0004148,0.0001383,0.0001383,0.0001383,0,0,0,0,3588,0.0002787,0,0.0002787,0,0,0,0,0,3645,0.0005487,0.0002743,0,0.0002743,0,0,0,0
8602,Brunswick,Georgia,GA,5386,0.0007427,0,0.0001857,0.0001857,0,0,0.0003713,0,2756,0.0010885,0,0.0003628,0,0,0,0.0007257,0,2630,0.0003802,0,0,0.0003802,0,0,0,0
8701,Hinesville,Georgia,GA,7859,0.0001272,0,0,0.0001272,0,0,0,0,3896,0.0002567,0,0,0.0002567,0,0,0,0,3963,0,0,0,0,0,0,0,0
8702,Statesboro,Georgia,GA,6316,0.0003167,0,0,0.0001583,0.0001583,0,0,0,3210,0,0,0,0,0,0,0,0,3106,0.0006439,0,0,0.000322,0.000322,0,0,0
8800,Savannah,Georgia,GA,24363,0.0008209,0.0000821,0.0002052,0.0002052,0,0.000041,0.0001642,0.0001231,12186,0.0011489,0.0000821,0.0003282,0.0002462,0,0.0000821,0.0002462,0.0001641,12175,0.0004928,0.0000821,0.0000821,0.0001643,0,0,0.0000821,0.0000821
8900,Macon,Georgia,GA,24772,0.0008881,0.0000807,0.0004037,0,0.0001615,0.0001211,0.0001211,0,12316,0.0015427,0.0001624,0.0007308,0,0.0002436,0.0002436,0.0001624,0,12454,0.0002409,0,0.0000803,0,0.0000803,0,0.0000803,0
9001,Vidalia,Georgia,GA,6644,0.0004515,0,0,0.0001505,0,0.0001505,0,0.0001505,3259,0.0006137,0,0,0,0,0.0003068,0,0.0003068,3385,0.0002954,0,0,0.0002954,0,0,0,0
9002,Milledgeville,Georgia,GA,4852,0.0002061,0,0,0,0,0,0.0002061,0,2409,0.0004151,0,0,0,0,0,0.0004151,0,2443,0,0,0,0,0,0,0,0
9003,Dublin,Georgia,GA,5049,0.0003961,0.0001981,0,0.0001981,0,0,0,0,2520,0.0007937,0.0003968,0,0.0003968,0,0,0,0,2528,0,0,0,0,0,0,0,0
9100,Atlanta,Georgia,GA,155150,0.001592,0.000058,0.000477,0.0002643,0.0002127,0.0001805,0.0002385,0.0001611,77900,0.0024262,0.0000513,0.0007959,0.0002953,0.0003979,0.0003081,0.0003594,0.0002182,77225,0.0007511,0.0000647,0.0001554,0.0002331,0.0000259,0.0000518,0.0001165,0.0001036
9200,Griffin,Georgia,GA,8210,0.0004872,0,0.0001218,0,0.0001218,0.0001218,0.0001218,0,4222,0.0007106,0,0.0002369,0,0.0002369,0.0002369,0,0,3986,0.0002509,0,0,0,0,0,0.0002509,0
9301,Winder,Georgia,GA,9838,0.0011181,0,0.0007115,0,0,0,0.0002033,0.0002033,4977,0.0018083,0,0.0012055,0,0,0,0.0002009,0.0004018,4859,0.0004116,0,0.0002058,0,0,0,0.0002058,0
9302,Toccoa,Georgia,GA,5033,0.0009934,0,0.0001987,0.0001987,0.0001987,0.0003974,0,0,2570,0.0019455,0,0.0003891,0.0003891,0.0003891,0.0007782,0,0,2463,0,0,0,0,0,0,0,0
9400,Gainesville,Georgia,GA,13609,0.0011757,0,0.0002939,0.0002204,0.000147,0.0000735,0.0002204,0.0002204,6943,0.0017284,0,0.0005761,0.0002881,0.000144,0.000144,0.0002881,0.0002881,6666,0.0006001,0,0,0.00015,0.00015,0,0.00015,0.00015
9500,Talladega,Alabama,AL,8801,0.0004545,0,0.0002272,0.0001136,0,0,0.0001136,0,4396,0.0006824,0,0.0002275,0.0002275,0,0,0.0002275,0,4405,0.000227,0,0.000227,0,0,0,0,0
9600,LaGrange,Georgia,GA,28725,0.0007659,0.0001044,0.0001393,0.0001741,0.0001044,0.0000348,0.0002089,0,14389,0.0013205,0.0002085,0.000278,0.000278,0.0002085,0.0000695,0.000278,0,14335,0.0002093,0,0,0.0000698,0,0,0.0001395,0
9701,Columbus,Georgia,GA,19546,0.0006651,0,0.0002046,0.0000512,0,0.0000512,0.000307,0.0000512,9726,0.0010282,0,0.0003085,0.0001028,0,0.0001028,0.0004113,0.0001028,9818,0.0003056,0,0.0001019,0,0,0,0.0002037,0
9702,Americus,Georgia,GA,3694,0.0008121,0,0,0,0,0.0002707,0.0002707,0.0002707,1860,0.0005376,0,0,0,0,0.0005376,0,0,1834,0.0010905,0,0,0,0,0,0.0005453,0.0005453
9800,Auburn,Alabama,AL,7470,0.0014726,0,0.0008032,0.0006693,0,0,0,0,3712,0.0024246,0,0.0016164,0.0008082,0,0,0,0,3758,0.0005322,0,0,0.0005322,0,0,0,0
9900,Tallahassee,Florida,FL,23707,0.001392,0.0001265,0.0004218,0.0002531,0.0001265,0.0002531,0.0001265,0.0000844,11907,0.0020156,0.000084,0.0007559,0.000252,0.000252,0.0003359,0.000252,0.000084,11798,0.0007628,0.0001695,0.0000848,0.0002543,0,0.0001695,0,0.0000848
10000,Panama City,Florida,FL,9959,0.0009037,0,0.0003012,0.0004016,0,0.0001004,0.0001004,0,5094,0.0013742,0,0.0005889,0.0003926,0,0.0001963,0.0001963,0,4865,0.0004111,0,0,0.0004111,0,0,0,0
10101,Bainbridge,Georgia,GA,2891,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,1413,0,0,0,0,0,0,0,0
10102,Thomasville,Georgia,GA,4687,0.0004267,0,0,0,0.0002134,0,0,0.0002134,2345,0.0008529,0,0,0,0.0004264,0,0,0.0004264,2342,0,0,0,0,0,0,0,0
10200,Albany,Georgia,GA,12439,0.0007235,0.0000804,0.0000804,0.0000804,0.0000804,0.0002412,0.0001608,0,6152,0.0006502,0,0,0.0001625,0,0.0004876,0,0,6287,0.0007953,0.0001591,0.0001591,0,0.0001591,0,0.0003181,0
10301,Eufaula,Georgia,GA,4070,0.0002457,0,0,0,0,0.0002457,0,0,1975,0.0005063,0,0,0,0,0.0005063,0,0,2095,0,0,0,0,0,0,0,0
10302,Dothan,Alabama,AL,14332,0.0006977,0.0001395,0.0003489,0,0.0000698,0,0.0000698,0.0000698,7279,0.0012364,0.0002748,0.0006869,0,0.0001374,0,0.0001374,0,7052,0.0001418,0,0,0,0,0,0,0.0001418
10400,Meridian,Mississippi,MS,10592,0.0005665,0.0000944,0,0,0.0002832,0,0.0001888,0,5358,0.0009332,0.0001866,0,0,0.0005599,0,0.0001866,0,5234,0.0001911,0,0,0,0,0,0.0001911,0
10501,Columbus,Mississippi,MS,6795,0.0004415,0,0,0.0001472,0.0001472,0,0,0.0001472,3403,0.0008816,0,0,0.0002939,0.0002939,0,0,0.0002939,3392,0,0,0,0,0,0,0,0
10502,Starkville,Mississippi,MS,6457,0.0006195,0,0.0001549,0,0,0.0001549,0.0003097,0,3278,0.0012203,0,0.0003051,0,0,0.0003051,0.0006101,0,3179,0,0,0,0,0,0,0,0
10600,Jasper,Alabama,AL,9799,0.0001021,0.0001021,0,0,0,0,0,0,4974,0.000201,0.000201,0,0,0,0,0,0,4825,0,0,0,0,0,0,0,0
10700,Birmingham,Alabama,AL,62246,0.0010442,0.0001285,0.0003534,0.0001285,0.0000803,0.0000803,0.0001928,0.0000803,31178,0.0017641,0.0001924,0.0007056,0.0001604,0.0001283,0.0001283,0.0003849,0.0000641,31056,0.000322,0.0000644,0,0.0000966,0.0000322,0.0000322,0,0.0000966
10801,Tuscaloosa,Alabama,AL,16665,0.00042,0,0.00024,0.00006,0.00006,0,0,0.00006,8326,0.0007206,0,0.0004804,0,0.0001201,0,0,0.0001201,8338,0.0001199,0,0,0.0001199,0,0,0,0
10802,Demopolis,Alabama,AL,4377,0.0002285,0.0002285,0,0,0,0,0,0,2143,0,0,0,0,0,0,0,0,2233,0.0004478,0.0004478,0,0,0,0,0,0
10900,Pensacola,Florida,FL,36004,0.0012221,0.0001666,0.0003888,0.0001666,0.0001666,0.0001111,0.0001944,0.0000278,18194,0.0019237,0.0002199,0.0006596,0.0002199,0.0002748,0.0002199,0.0002748,0.000055,17808,0.0005054,0.0001123,0.0001123,0.0001123,0.0000562,0,0.0001123,0
11001,Mobile,Alabama,AL,39036,0.0006917,0.0000769,0.0002049,0.0000769,0.0000769,0.0000769,0.0000512,0.0001281,19702,0.0010659,0.0001015,0.0003553,0.0001015,0.0000508,0.0001015,0.0001015,0.0002538,19327,0.0003104,0.0000517,0.0000517,0.0000517,0.0001035,0.0000517,0,0
11002,Atmore,Alabama,AL,5066,0.0001974,0,0,0,0,0,0.0001974,0,2555,0.0003914,0,0,0,0,0,0.0003914,0,2511,0,0,0,0,0,0,0,0
11101,Montgomery,Alabama,AL,24406,0.0005327,0.0000819,0.0002868,0.000041,0,0,0.000041,0.0000819,12217,0.0009822,0.0001637,0.000573,0.0000819,0,0,0.0000819,0.0000819,12187,0.0000821,0,0,0,0,0,0,0.0000821
11102,Troy,Alabama,AL,5020,0.0001992,0,0.0001992,0,0,0,0,0,2495,0.0004008,0,0.0004008,0,0,0,0,0,2525,0,0,0,0,0,0,0,0
11201,Bluefield,Virginia,VA,10593,0.000944,0.0001888,0.0000944,0,0.000472,0,0.0001888,0,5328,0.0016892,0.0001877,0.0001877,0,0.0009384,0,0.0003754,0,5265,0.0001899,0.0001899,0,0,0,0,0,0
11202,Welch,West Virginia,WV,2762,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,1422,0,0,0,0,0,0,0,0
11203,Big Stone Gap,Virginia,VA,4710,0.0006369,0.0004246,0.0002123,0,0,0,0,0,2359,0.0012717,0.0008478,0.0004239,0,0,0,0,0,2351,0,0,0,0,0,0,0,0
11301,Fredericksburg,Virginia,VA,15040,0.0015957,0.0000665,0.0007314,0.0001995,0.0001995,0.0001995,0.0001995,0,7596,0.0027646,0.0001316,0.0013165,0.0002633,0.0003949,0.0002633,0.0003949,0,7444,0.000403,0,0.0001343,0.0001343,0,0.0001343,0,0
11302,Baltimore,Maryland,MD,139865,0.0021592,0.0001644,0.0007078,0.0003646,0.0001859,0.0002073,0.0003646,0.0001644,69318,0.003419,0.0002308,0.0012551,0.0004761,0.0003174,0.0003751,0.0005193,0.0002452,70540,0.0009215,0.0000992,0.0001701,0.0002552,0.0000567,0.0000425,0.0002126,0.0000851
11303,Colonial Beach,Virginia,VA,3131,0.0009582,0.0003194,0.0003194,0,0.0003194,0,0,0,1584,0.0018939,0.0006313,0.0006313,0,0.0006313,0,0,0,1547,0,0,0,0,0,0,0,0
11304,Washington DC,District of Columbia,DC,231014,0.0026535,0.0002035,0.0010908,0.0004156,0.0002857,0.0002121,0.0003247,0.0001212,114724,0.0042886,0.0002615,0.0019351,0.0005404,0.0005056,0.0003487,0.000523,0.0001743,116278,0.0010406,0.0001462,0.000258,0.0002924,0.0000688,0.0000774,0.000129,0.0000688
11401,Marquette,Michigan,MI,8017,0.0038668,0.0003742,0.0004989,0.0007484,0.0002495,0.0007484,0.0011226,0.0001247,4083,0.0056331,0.0002449,0.0009797,0.0004898,0.0002449,0.0014695,0.0019593,0.0002449,3934,0.0020336,0.0005084,0,0.0010168,0.0002542,0,0.0002542,0
11402,Marinette,Michigan,MI,8140,0.0036855,0.0006143,0.0006143,0.0003686,0.0002457,0.0009828,0.0006143,0.0002457,4085,0.0058752,0.0004896,0.001224,0.0004896,0.0004896,0.0017136,0.001224,0.0002448,4055,0.0014797,0.0007398,0,0.0002466,0,0.0002466,0,0.0002466
11403,Sault Ste. Marie,Michigan,MI,3322,0.0021072,0,0.000301,0.000602,0,0.000602,0.000602,0,1704,0.0023474,0,0.0005869,0.0005869,0,0,0.0011737,0,1617,0.0018553,0,0,0.0006184,0,0.0012369,0,0
11500,Jackson,Michigan,MI,19475,0.002208,0.0002054,0.0004621,0.0005135,0.0003081,0.0003081,0.0003081,0.0001027,9954,0.0037171,0.0003014,0.0009042,0.0006028,0.0005023,0.0006028,0.0006028,0.0002009,9521,0.0006302,0.000105,0,0.0004201,0.000105,0,0,0
11600,Detroit,Michigan,MI,301139,0.0038421,0.0002026,0.0009431,0.0003288,0.0005612,0.00088,0.0006841,0.0002424,151503,0.0061979,0.00033,0.0016633,0.0003894,0.0009439,0.0014983,0.0010363,0.0003366,149606,0.0014572,0.0000735,0.0002139,0.0002674,0.0001738,0.000254,0.0003275,0.0001471
11700,Lansing,Michigan,MI,27825,0.0033783,0.0001797,0.0008266,0.0002875,0.0004672,0.0006828,0.000575,0.0003594,14002,0.0057849,0.0002143,0.0015712,0.0003571,0.0009284,0.0012141,0.0009284,0.0005713,13821,0.0009406,0.0001447,0.0000724,0.0002171,0,0.0001447,0.0002171,0.0001447
11800,Mount Pleasant,Michigan,MI,7837,0.0014036,0.0003828,0.0001276,0.0001276,0,0.0001276,0.000638,0,3937,0.002286,0.000762,0.000254,0,0,0.000254,0.001016,0,3900,0.0005128,0,0,0.0002564,0,0,0.0002564,0
11900,Saginaw,Michigan,MI,35111,0.0034177,0.0005696,0.0005696,0.0003703,0.0004557,0.0005411,0.0006266,0.0002848,17664,0.0056046,0.0009624,0.0010756,0.0003963,0.000736,0.001019,0.0010756,0.0003397,17446,0.0012037,0.000172,0.0000573,0.0003439,0.000172,0.0000573,0.000172,0.0002293
12001,Big Rapids,Michigan,MI,7859,0.0022904,0.0003817,0.0002545,0.0002545,0.0002545,0.0002545,0.0006362,0.0002545,3997,0.0042532,0.0007506,0.0005004,0.0005004,0.0005004,0.0005004,0.0012509,0.0002502,3862,0.0002589,0,0,0,0,0,0,0.0002589
12002,Ludington,Michigan,MI,3318,0.0033153,0.0003014,0.0009042,0.0006028,0.0003014,0.0003014,0.0006028,0.0003014,1677,0.0053667,0.0005963,0.0017889,0.0005963,0.0005963,0.0005963,0.0011926,0,1641,0.0012188,0,0,0.0006094,0,0,0,0.0006094
12100,Kalamazoo,Michigan,MI,30731,0.0027985,0.0002929,0.0006183,0.0005206,0.0002278,0.0006183,0.0003905,0.0001302,15491,0.0045188,0.0005164,0.0010974,0.0007101,0.0003228,0.0010329,0.0006455,0.0001937,15240,0.0010499,0.0000656,0.0001312,0.0003281,0.0001312,0.0001969,0.0001312,0.0000656
12200,Grand Rapids,Michigan,MI,86290,0.0028509,0.0002781,0.0006258,0.0002318,0.0004983,0.0004056,0.0006026,0.0002086,43258,0.0049702,0.0004392,0.0011096,0.0003236,0.0008322,0.0007397,0.0011327,0.000393,43031,0.0007204,0.0001162,0.0001394,0.0001394,0.0001627,0.0000697,0.0000697,0.0000232
12301,Traverse City,Michigan,MI,9458,0.0030662,0.0004229,0.0003172,0.0005287,0.0004229,0.0005287,0.0008458,0,4819,0.0051878,0.00083,0.000415,0.00083,0.0006225,0.00083,0.0016601,0,4637,0.0008626,0,0.0002157,0.0002157,0.0002157,0.0002157,0,0
12302,Petoskey,Michigan,MI,5292,0.0017007,0.0003779,0.0003779,0.000189,0.000189,0,0.0003779,0.000189,2710,0.002952,0.000738,0.000369,0.000369,0.000369,0,0.000738,0.000369,2582,0.0003873,0,0.0003873,0,0,0,0,0
12401,Alpena,Michigan,MI,5407,0.0022193,0,0.0005548,0.0001849,0.0001849,0.0005548,0.0005548,0.0001849,2770,0.0025271,0,0.000361,0,0,0.001083,0.001083,0,2637,0.0018961,0,0.0007584,0.0003792,0.0003792,0,0,0.0003792
12402,Grayling charter,Michigan,MI,6541,0.0018346,0.0003058,0,0,0.0009173,0.0003058,0.0003058,0,3338,0.0026962,0.0002996,0,0,0.0014979,0.0005992,0.0002996,0,3203,0.0009366,0.0003122,0,0,0.0003122,0,0.0003122,0
12501,Dayton,Ohio,OH,74729,0.0019671,0.0003212,0.0004817,0.0002543,0.0001873,0.0003212,0.0002676,0.0001338,37475,0.0029887,0.0004536,0.0008005,0.000427,0.0002402,0.0005604,0.0003202,0.0001868,37244,0.0009397,0.0001879,0.0001611,0.0000805,0.0001342,0.0000805,0.0002148,0.0000805
12502,Washington Court House,Ohio,OH,7349,0.0006804,0.0001361,0,0.0001361,0,0.0002721,0.0001361,0,3799,0.0007897,0.0002632,0,0,0,0.0005265,0,0,3548,0.0005637,0,0,0.0002818,0,0,0.0002818,0
12600,Wayne,Indiana,IN,6705,0.0008949,0.0001491,0,0.0001491,0,0,0.0004474,0.0001491,3376,0.0017773,0.0002962,0,0.0002962,0,0,0.0008886,0.0002962,3329,0,0,0,0,0,0,0,0
12701,Cincinnati,Ohio,OH,123381,0.0030556,0.0003404,0.0006808,0.0004701,0.0003485,0.0002594,0.000543,0.0004134,61968,0.0047282,0.0005164,0.0011296,0.0006132,0.0006132,0.0005003,0.0008391,0.0005164,61403,0.001368,0.0001629,0.000228,0.0003257,0.0000814,0.0000163,0.0002443,0.0003094
12702,Maysville,Kentucky,KY,3187,0.0003138,0,0,0,0,0.0003138,0,0,1620,0.0006173,0,0,0,0,0.0006173,0,0,1567,0,0,0,0,0,0,0,0
12800,Washington,Indiana,IN,9417,0.0025486,0,0.000531,0.0001062,0.0004248,0.0007433,0.0004248,0.0003186,4696,0.0042589,0,0.0006388,0.0002129,0.0008518,0.0014906,0.0008518,0.0002129,4721,0.0008473,0,0.0004236,0,0,0,0,0.0004236
12901,Lexington-Fayette,Kentucky,KY,27453,0.0022948,0.0001457,0.0009835,0.000255,0.0002186,0.0004007,0.0001821,0.0001093,13866,0.0039665,0.0002164,0.001803,0.0004327,0.0004327,0.0007212,0.0001442,0.0002164,13586,0.0005888,0.0000736,0.0001472,0.0000736,0,0.0000736,0.0002208,0
12902,Mount Sterling,Kentucky,KY,2119,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0
12903,Danville,Kentucky,KY,4921,0.0012193,0,0,0.0004064,0.0002032,0.0002032,0.0002032,0.0002032,2433,0.0016441,0,0,0.000411,0.000411,0.000411,0.000411,0,2488,0.0008039,0,0,0.0004019,0,0,0,0.0004019
13000,Elizabethtown,Kentucky,KY,11772,0.0005097,0,0.0002548,0.0000849,0,0.0000849,0.0000849,0,5974,0.0010044,0,0.0005022,0.0001674,0,0.0001674,0.0001674,0,5798,0,0,0,0,0,0,0,0
13101,Louisville,Kentucky,KY,65007,0.0015075,0.0001846,0.0003692,0.0001846,0.0000923,0.0001231,0.0003692,0.0001846,32542,0.0023047,0.0002766,0.0006146,0.0002766,0.0001844,0.0001844,0.0006146,0.0001536,32463,0.0007085,0.0000924,0.0001232,0.0000924,0,0.0000616,0.0001232,0.0002156
13102,Madison,Indiana,IN,3025,0.0013223,0.0003306,0.0003306,0,0,0.0003306,0.0003306,0,1517,0.0019776,0,0.0006592,0,0,0.0006592,0.0006592,0,1508,0.0006631,0.0006631,0,0,0,0,0,0
13103,Bardstown,Kentucky,KY,4365,0.0018328,0,0,0,0.0002291,0.0006873,0.0004582,0.0004582,2186,0.0036597,0,0,0,0.0004575,0.0013724,0.0009149,0.0009149,2179,0,0,0,0,0,0,0,0
13200,Owensboro,Kentucky,KY,11238,0.0015127,0.000178,0.000267,0.000178,0.000178,0.000267,0.0003559,0.000089,5600,0.0025,0.0003571,0.0005357,0.0001786,0.0001786,0.0005357,0.0007143,0,5638,0.0005321,0,0,0.0001774,0.0001774,0,0,0.0001774
13300,Findlay,Ohio,OH,16630,0.0021648,0.0003608,0.0004209,0.0001804,0.0003007,0.0002405,0.0002405,0.0004209,8259,0.0037535,0.0004843,0.0007265,0.0002422,0.0006054,0.0004843,0.0004843,0.0007265,8369,0.0005974,0.000239,0.0001195,0.0001195,0,0,0,0.0001195
13400,Lima,Ohio,OH,19527,0.0024581,0.0002561,0.0003073,0.0004609,0.0000512,0.0005633,0.0005121,0.0003073,9905,0.0035336,0.0002019,0.0006058,0.0004038,0.000101,0.0011106,0.0007067,0.0004038,9621,0.0013512,0.0003118,0,0.0005197,0,0,0.0003118,0.0002079
13501,Toledo,Ohio,OH,54484,0.0026063,0.0003487,0.0004405,0.0002753,0.000569,0.0003304,0.0004221,0.0002202,27443,0.0042634,0.0006195,0.0007288,0.0003644,0.0010567,0.0006559,0.000583,0.0002551,27038,0.0009246,0.000074,0.0001479,0.0001849,0.000074,0,0.0002589,0.0001849
